Resource ID,Dataset Name,Description,Dataset URL,Attribution,Dataset Type,Update Frequency,Department Name,Program Name,Spatial Information,Strategic Area,Dataset Updated Date,Dataset Created Date,Metadata Last Updated Date,Data Last Updated Date,Publication Date,Download Count,Page Views Last Week,Page Views Last Month,Page Views Total,Row Count,Cover Image URL,Automation Method,Automation Method Other,Owner Display Name,Tags,Is Public
dx9v-zd7x,Real-Time Traffic Incident Reports,"This dataset contains traffic incident information from the Austin-Travis County traffic reports collected from the various Public Safety agencies through a data feed from the Combined Transportation, Emergency, and Communications Center (CTECC). 

For further context, see:
- Active Incidents: Map and Context - https://data.austintexas.gov/stories/s/Austin-Travis-County-Traffic-Report-Page/9qfg-4swh/
- Data Trends and Analysis - https://data.austintexas.gov/stories/s/48n7-m3me

The dataset is updated every 5 minutes with the latest snapshot of active traffic incidents.",https://data.austintexas.gov/d/dx9v-zd7x,"City of Austin, Texas - data.austintexas.gov",dataset,Multiple per day,Transportation and Public Works,Data and Technology Services Division,,,04/11/2025 03:00:41 AM,09/25/2017 08:48:03 AM,04/08/2025 11:28:51 AM,04/11/2025 03:00:41 AM,01/26/2024 01:55:45 PM,"12,999",8,35,"231,942","417,400",,REST API,,transportation.data@austintexas.gov,"pedestrians, roads, safety, transportation",true
v3dz-djp9,Walnut Creek Trail System,"The Austin Public Works Urban Trails Program is currently developing the Walnut Creek Trail System. This trail network is being designed for people walking and people on bikes. Once complete, it will be 19 miles long and connect the Govalle Neighborhood Park in East Austin to the Balcones District Park in North Austin.",https://data.austintexas.gov/d/v3dz-djp9,"City of Austin, Texas - data.austintexas.gov",story,Quarterly,Capital Delivery Services,Urban Trails,,Mobility,06/20/2024 05:00:21 PM,08/23/2019 01:25:24 PM,03/28/2025 10:45:13 AM,06/20/2024 05:00:21 PM,09/10/2019 12:27:50 PM,0,1,9,"73,355",,,,,CDS Open Data Asset Owners (Capital Delivery Services),"trail, urban trail",true
gukj-e8fh,Corridor Mobility Program,Landing page for the 2016 Mobility Bond Corridor Program.,https://data.austintexas.gov/d/gukj-e8fh,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 01:57:31 PM,06/07/2017 04:26:21 PM,04/08/2025 11:28:52 AM,03/27/2025 01:57:31 PM,06/07/2017 04:26:21 PM,0,1,12,"116,383",,,,,TPW Legacy CPO (Transportation Public Works),,true
9krn-a66r,2016 Mobility Bond,The landing page for the 2016 Mobility Bond.,https://data.austintexas.gov/d/9krn-a66r,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,01/03/2024 11:06:50 AM,06/07/2017 04:24:15 PM,04/08/2025 11:28:54 AM,01/03/2024 11:06:50 AM,06/07/2017 04:24:15 PM,0,1,3,"85,676",,,,,TPW Legacy CPO (Transportation Public Works),,true
yjim-unm2,Shoal Creek Boulevard,"The City of Austin installed a protected bikeway, pedestrian crossings and intersection improvements along Shoal Creek Boulevard between 38th Street and US 183.",https://data.austintexas.gov/d/yjim-unm2,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,04/27/2023 04:54:31 PM,11/14/2018 10:58:23 AM,04/08/2025 11:28:56 AM,04/27/2023 04:54:31 PM,11/14/2018 10:59:55 AM,0,1,5,"54,805",,,,,TPW PIO Data Owners (Transportation Public Works),,true
b4k4-adkb,Traffic Cameras,"This dataset contains information about traffic cameras in Austin, TX. These cameras are used to monitor real-time LIVE traffic conditions only. Video is NOT recorded or retained of daily traffic. 

Traffic cameras are owned and operated by the City of Austin Transportation & Public Works Department. 

You may also be interested in our traffic signal operations dashboards, available at https://data.mobility.austin.gov

For information about Austin's Mobility Management Center, visit:
http://www.austintexas.gov/department/arterial-management

This product is for informational purposes and may not have been prepared for or be suitable for legal, engineering, or surveying purposes. It does not represent an on-the-ground survey and represents only the approximate relative location of traffic signals.",https://data.austintexas.gov/d/b4k4-adkb,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Arterial Management Division,,Mobility,04/11/2025 01:55:33 AM,12/08/2016 01:22:17 PM,04/08/2025 11:28:58 AM,04/11/2025 01:55:33 AM,07/05/2023 02:26:11 PM,"7,130",5,12,"31,062",944,,REST API,,transportation.data@austintexas.gov,"cameras, mobility, traffic, transportation",true
2xkd-czyh,Mobility Annual Plan,"The Mobility Annual Plan, or MAP, is an annual process designed to offer a transparent means of delivering a dynamic, interdependent, and complex set of projects funded by Austin's 2016, 2018 and 2020 Mobility Bonds.",https://data.austintexas.gov/d/2xkd-czyh,"City of Austin, Texas - data.austintexas.gov",story,Annually,Transportation and Public Works,,,Mobility,01/31/2025 03:57:43 PM,10/09/2018 01:29:43 PM,04/08/2025 11:29:00 AM,01/31/2025 03:57:43 PM,10/09/2018 04:10:21 PM,0,1,5,"28,446",,,,,TPW PIO Data Owners (Transportation Public Works),,true
7d8e-dm7r,Shared Micromobility Vehicle Trips (2018-2022),"Effective March 1st, 2022, this dataset is no longer maintained. For current micromobility data, please refer to our 3rd-party data provider's dashboard: https://public.ridereport.com/austin. 

Please note: Only aggregated data is currently available for micromobility trips. For several reasons, including privacy concerns, individual trip data is no longer being collected.

------
This dataset contains shared micromobility vehicle trip data reported to the City of Austin Transportation and Public Works Department as part of the Shared Small Vehicle Mobility Systems operating rules.

Note that our official trip reporting metrics only include trips which meet the following criteria:
     - Trip distance greater than or equal to 0.1 miles and less than 500 miles
     - Trip duration less than 24 hours

Read more at about Austin's dockless mobility services at https://austintexas.gov/micromobility",https://data.austintexas.gov/d/7d8e-dm7r,"City of Austin, Texas - data.austintexas.gov",dataset,Not updated/Historical,Transportation and Public Works,Smart Mobility - Transportation Demand Management,None.,Mobility,04/08/2025 11:29:01 AM,12/03/2018 08:18:36 PM,04/08/2025 11:29:01 AM,04/05/2022 11:30:27 AM,10/10/2021 05:55:51 PM,"2,431",0,5,"23,047","15,048,635",,Manual,,transportation.data@austintexas.gov,"bicycles, bikes, dockless, e-bike, micromobility, mobility, scooters, tpw, transportation, trips",true
tyfh-5r8s,Austin MetroBike Trips,"Note on data currency: The vendor for the trip data has changed, and TPW are working with CapMetro and the new vendor to obtain more current trip data. We will refresh the data as soon as it becomes available. 

This dataset contains trip data from the Austin MetroBike  bicycle sharing program.

Note that trips less than 2 minutes are not included in this dataset. Rebalancing and maintenance trips by MetroBike staff are also not included.

You may also be interested in the MetroBike  kiosk location data, available here:
https://data.austintexas.gov/dataset/Austin-MetroBike-Kiosk-Locations/qd73-bsdg/data

More information about Austin MetroBike is available here:
http://austinbcycle.com/",https://data.austintexas.gov/d/tyfh-5r8s,"City of Austin, Texas - data.austintexas.gov",dataset,Other,Transportation and Public Works,Data and Technology Services Division,,,04/08/2025 11:29:02 AM,01/23/2017 12:01:40 PM,04/08/2025 11:29:02 AM,07/25/2024 01:36:24 PM,07/04/2023 11:24:20 AM,"6,640",0,4,"4,504","2,271,153",,REST API,,transportation.data@austintexas.gov,"bicycles, metrobike, mobility, transit, transportation",true
35rd-kzw7,Slaughter Lane Corridor,Landing page for the Slaughter Lane Corridor Mobility Plan,https://data.austintexas.gov/d/35rd-kzw7,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,08/11/2023 08:17:51 AM,10/28/2017 08:29:12 AM,04/08/2025 11:29:04 AM,08/11/2023 08:17:51 AM,10/28/2017 08:29:12 AM,0,1,7,"24,132",,,,,TPW Legacy CPO (Transportation Public Works),,true
v4g4-vwxa,Spicewood Springs Road,he Austin Transportation and Public Works Department and Capital Delivery Services are working on Spicewood Springs Road for opportunities to enhance mobility and safety for all road users.,https://data.austintexas.gov/d/v4g4-vwxa,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,11/13/2024 07:56:16 AM,03/28/2018 10:13:22 AM,04/08/2025 11:29:05 AM,11/13/2024 07:56:16 AM,03/28/2018 10:13:22 AM,0,1,4,"15,287",,,,,TPW Legacy CPO (Transportation Public Works),,true
98ti-bf7d,Austin to Manor Trail,"The Urban Trails program is working to connect Austin’s trail network to the city of Manor, located east of Austin.",https://data.austintexas.gov/d/98ti-bf7d,"City of Austin, Texas - data.austintexas.gov",story,Bi-monthly,Capital Delivery Services,Urban Trails,,Mobility,10/30/2024 11:38:17 AM,04/14/2022 03:50:51 PM,03/28/2025 10:45:20 AM,10/30/2024 11:38:17 AM,04/15/2022 02:24:09 PM,0,1,4,398,,,,,CDS Open Data Asset Owners (Capital Delivery Services),"trail, urban trails",true
yvtu-qijn,Red Line Trail,"The Red Line Trail is a planned, 32-mile trail network that would follow Capital Metro’s Red Line Rail from Downtown Austin to Leander once completed.",https://data.austintexas.gov/d/yvtu-qijn,"City of Austin, Texas - data.austintexas.gov",story,Quarterly,Capital Delivery Services,Urban Trails,,,07/17/2024 12:22:57 PM,05/20/2019 03:45:15 PM,03/28/2025 10:45:28 AM,07/17/2024 12:22:57 PM,06/21/2019 03:32:27 PM,0,1,3,"7,072",,,,,CDS Open Data Asset Owners (Capital Delivery Services),"trail, urban trail",true
e54b-5vi3,Safe Routes to School Improvement Projects,"As part of the 2016 Mobility Bond and the 2020 Bond, Austin Public Works’ Safe Routes to School Program is identifying projects to help children safely and easily travel to and from school.  All projects meet ADA-accessibility standards and range from sidewalk repairs and safer street crossings,  to new bikeways or sidewalks, and more.",https://data.austintexas.gov/d/e54b-5vi3,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Safe Routes to School,,Mobility,12/28/2023 04:20:58 PM,04/10/2019 06:01:45 PM,04/08/2025 11:29:07 AM,12/28/2023 04:20:58 PM,05/02/2019 11:23:21 AM,0,1,6,"13,637",,,,,TPW Safe Routes to School Data Owners,"mobility bonds, safe routes",true
dnjd-yw5p,Boggy Creek Trail,"Boggy Creek Trail is located in Southeast Austin. This trail is part of the Red Line and the Eastlink trail systems, providing key connections to downtown, parks, transit, and major attractions.",https://data.austintexas.gov/d/dnjd-yw5p,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,04/12/2021 01:19:59 PM,06/05/2019 04:03:42 PM,04/08/2025 11:29:09 AM,04/12/2021 01:19:59 PM,06/06/2019 03:18:06 PM,0,1,3,"12,882",,,,,TPW Legacy CPO (Transportation Public Works),,true
9jsz-agwf,Local Mobility Program Page,Landing page for the 2016  Mobility Bond Local Mobility Program.,https://data.austintexas.gov/d/9jsz-agwf,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/19/2023 01:26:05 PM,06/07/2017 04:24:52 PM,04/08/2025 11:29:11 AM,12/19/2023 01:26:05 PM,06/07/2017 04:24:52 PM,0,1,3,"16,237",,,,,TPW Legacy CPO (Transportation Public Works),,true
nh2n-79mh,East Riverside Drive Corridor,Landing page for the East Riverside Drive corridor,https://data.austintexas.gov/d/nh2n-79mh,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/11/2025 02:35:36 PM,10/07/2017 05:58:22 PM,04/08/2025 11:29:14 AM,03/11/2025 02:35:36 PM,10/07/2017 05:58:23 PM,0,1,3,"11,469",,,,,TPW Legacy CPO (Transportation Public Works),,true
bb5t-6y5z,46th-47th Streets and Bennett-Middle Fiskville Neighborhood Bikeways,"The City of Austin is making changes in the Triangle State, Hyde Park, Hancock and North Loop neighborhoods as a neighborhood bikeway route.",https://data.austintexas.gov/d/bb5t-6y5z,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/25/2025 02:34:28 PM,10/10/2019 10:00:30 AM,04/08/2025 11:29:12 AM,03/25/2025 02:34:28 PM,10/10/2019 10:04:51 AM,0,1,8,"9,132",,,,,TPW PIO Data Owners (Transportation Public Works),,true
86p7-68jw,TRANSPORTATION_markings_specialty_line,"Line feature class of specialty markings on the City of Austin maintained streets. The assets were referenced using NearMap imagery and work orders submitted through the Signs and Markings Data Tracker. The dataset use segment ID and intersection ID as a spatial reference. Specialty markings include delineators, curbs, raised pavement marking lane seperators, and concrete domes.",https://data.austintexas.gov/d/86p7-68jw,"City of Austin, Texas - data.austintexas.gov",map,As needed,Transportation and Public Works,Signs and Markings,,,04/10/2025 01:12:10 PM,10/17/2018 08:03:40 PM,04/10/2025 01:12:10 PM,04/09/2025 03:40:26 AM,10/17/2018 08:03:40 PM,563,1,3,219,,,Manual,,transportation.data@austintexas.gov,"agoltosocrata, arrows, atd, legends, marking, parking, pavement marking, point, raised pavement marking, rpm, specialty markings, symbols, word",true
9qfg-4swh,Austin-Travis County Traffic Report Page,Contextual explainer page for the Austin-Travis County Traffic Report page,https://data.austintexas.gov/d/9qfg-4swh,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Data and Technology Services Division,,,03/01/2024 10:30:38 AM,03/08/2023 11:30:32 AM,04/08/2025 11:29:18 AM,03/01/2024 10:30:38 AM,03/08/2023 11:43:54 AM,0,1,6,428,,,Manual,,transportation.data@austintexas.gov,,true
3p2i-pqdc,TRANSPORTATION.markings_short_line,"Line feature class of short line markings. The assets were referenced using NearMap imagery and work orders submitted through the Signs and Markings Data Tracker. The short line assets use segment ID and intersection ID as a spatial reference. Short line includes crosswalks, stop lines, school zone lines, and yield lines.",https://data.austintexas.gov/d/3p2i-pqdc,"City of Austin, Texas - data.austintexas.gov",map,Daily,Transportation and Public Works,Signs and Markings,,,04/10/2025 12:29:55 PM,10/17/2018 08:03:27 PM,04/10/2025 12:29:46 PM,04/10/2025 12:29:55 PM,10/17/2018 08:03:27 PM,676,1,2,223,,,Manual,,transportation.data@austintexas.gov,"agoltosocrata, atd, continental, crosswalks, marking, school zone line, stop bar, stop line, transverse, yield lines",true
gz7d-cr9y,Anderson Mill Road,The City of Austin completed improvements on Anderson Mill Road (US 183 to Spicewood Parkway) as part of the 2016 Mobility Bond.,https://data.austintexas.gov/d/gz7d-cr9y,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,11/13/2024 07:59:22 AM,04/23/2018 04:54:01 PM,04/08/2025 11:29:24 AM,11/13/2024 07:59:22 AM,04/23/2018 04:54:01 PM,0,1,5,"13,168",,,,,TPW PIO Data Owners (Transportation Public Works),,true
y8yk-zpnk,What's New,"We're hard at work to put mobility, safety and connectivity projects funded by the Austin Mobility Bonds on the ground. Here's where you'll find the latest news about Local, Corridor and Regional mobility improvements, including opportunities to get involved.",https://data.austintexas.gov/d/y8yk-zpnk,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,09/13/2024 12:33:57 PM,02/27/2018 09:50:11 AM,04/08/2025 11:29:25 AM,09/13/2024 12:33:57 PM,02/27/2018 09:50:11 AM,0,1,1,"12,541",,,,,TPW PIO Data Owners (Transportation Public Works),,true
ua6u-av29,Cameron Road and Dessau Road Safety Improvements,"The City of Austin is proposing safety and mobility improvements for Cameron / Dessau Road between 51st Street and Parmer Lane, and is now seeking feedback on the proposed design to help shape this important project.

City of Austin Open Data Terms of Use – https://data.austintexas.gov/stories/s/ranj-cccq",https://data.austintexas.gov/d/ua6u-av29,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Vision Zero,,Mobility,11/25/2024 10:14:08 AM,10/11/2019 04:16:59 PM,04/08/2025 11:29:27 AM,11/25/2024 10:14:08 AM,10/11/2019 04:19:04 PM,0,1,6,"9,788",,,,,TPW PIO Data Owners (Transportation Public Works),"all, cameron, for, road, roads, safe, ss4a, streets",true
